INSERT INTO Cars (Id, Model, Brand) VALUES
(2, '2021-09-18 12:00:00', 2190930),
(20, '2021-06-28 12:00:00', 2536930),
(17, '2019-03-21 12:00:00', 1619547),
(15, '2021-07-15 12:00:00', 1406021),
(19, '2021-08-12 12:00:00', 1290449),
(17, '2023-12-25 12:00:00', 1325849),
(16, '2021-07-22 12:00:00', 1147913),
(17, '2021-04-29 12:00:00', 2051685),
(11, '2020-11-10 12:00:00', 826940),
(6, '2019-05-16 12:00:00', 1712248),
(18, '2019-01-01 12:00:00', 2357746),
(3, '2024-06-05 12:00:00', 1531158),
(13, '2020-11-18 12:00:00', 2223105),
(5, '2022-06-04 12:00:00', 2206021),
(16, '2019-12-26 12:00:00', 1223722),
(6, '2021-05-06 12:00:00', 2572740),
(13, '2024-11-27 12:00:00', 2740934),
(16, '2024-02-17 12:00:00', 1856882),
(4, '2019-10-10 12:00:00', 1231528),
(20, '2024-05-02 12:00:00', 2490056),
(6, '2019-07-09 12:00:00', 1948288),
(14, '2024-05-07 12:00:00', 519573),
(11, '2019-07-02 12:00:00', 2888572),
(18, '2022-10-13 12:00:00', 2026999),
(16, '2023-03-24 12:00:00', 1023986),
(7, '2023-06-24 12:00:00', 1579728),
(18, '2024-03-18 12:00:00', 1055033),
(1, '2020-12-18 12:00:00', 2523007),
(4, '2021-11-15 12:00:00', 1205886),
(6, '2019-01-09 12:00:00', 2564340),
(6, '2020-11-27 12:00:00', 1256130),
(4, '2021-09-07 12:00:00', 2383559),
(2, '2023-09-16 12:00:00', 2151919),
(6, '2023-09-12 12:00:00', 2284594),
(2, '2019-12-22 12:00:00', 1701794),
(20, '2021-08-15 12:00:00', 2653776),
(12, '2020-11-21 12:00:00', 2636662),
(19, '2023-11-24 12:00:00', 1569715),
(5, '2024-05-24 12:00:00', 2464879),
(16, '2021-05-07 12:00:00', 914673),
(6, '2019-07-23 12:00:00', 2417049),
(10, '2024-09-09 12:00:00', 2103610),
(6, '2021-05-17 12:00:00', 1391743),
(1, '2021-12-25 12:00:00', 973426),
(8, '2019-07-16 12:00:00', 1076340),
(7, '2019-08-16 12:00:00', 931586),
(1, '2019-12-18 12:00:00', 1757182),
(8, '2021-04-07 12:00:00', 593059),
(18, '2022-08-14 12:00:00', 1878477),
(8, '2021-10-25 12:00:00', 619348),
(10, '2021-12-04 12:00:00', 1708599),
(4, '2024-08-10 12:00:00', 1727915),
(3, '2022-06-07 12:00:00', 734311),
(9, '2024-03-03 12:00:00', 1530383),
(3, '2019-05-10 12:00:00', 1848116),
(3, '2020-01-12 12:00:00', 2110687),
(1, '2023-04-16 12:00:00', 2685975),
(2, '2024-07-28 12:00:00', 1688569),
(5, '2023-06-01 12:00:00', 858314),
(3, '2020-08-21 12:00:00', 2892733),
(9, '2019-02-10 12:00:00', 1595716),
(12, '2020-07-02 12:00:00', 779794),
(12, '2024-03-04 12:00:00', 1284521),
(3, '2020-08-27 12:00:00', 1956188),
(19, '2020-02-21 12:00:00', 527758),
(20, '2022-01-23 12:00:00', 1862622),
(10, '2023-12-30 12:00:00', 2324509),
(3, '2019-12-02 12:00:00', 1518509),
(13, '2024-08-23 12:00:00', 1102142),
(7, '2020-07-21 12:00:00', 2854793),
(8, '2023-04-10 12:00:00', 2306879),
(16, '2021-09-29 12:00:00', 2802823),
(20, '2019-06-18 12:00:00', 2705401),
(8, '2022-08-08 12:00:00', 1596230),
(7, '2020-09-19 12:00:00', 1797694),
(18, '2022-02-21 12:00:00', 1407770),
(11, '2019-06-29 12:00:00', 1256388),
(3, '2024-12-30 12:00:00', 1621037),
(1, '2024-06-13 12:00:00', 1578782),
(9, '2019-11-27 12:00:00', 1219064),
(19, '2023-08-26 12:00:00', 1373876),
(14, '2019-10-08 12:00:00', 511317),
(3, '2020-06-12 12:00:00', 811053),
(4, '2019-04-09 12:00:00', 1830936),
(14, '2022-08-02 12:00:00', 1672277),
(11, '2023-03-11 12:00:00', 2269078),
(6, '2019-11-05 12:00:00', 1832150),
(5, '2021-02-11 12:00:00', 2398742),
(10, '2024-06-29 12:00:00', 1783360),
(16, '2019-02-25 12:00:00', 2589871),
(18, '2023-01-30 12:00:00', 1957142),
(15, '2019-11-01 12:00:00', 814619),
(4, '2022-02-03 12:00:00', 2412574),
(20, '2019-08-06 12:00:00', 1163877),
(5, '2024-05-25 12:00:00', 1945480),
(1, '2022-03-07 12:00:00', 2668781),
(19, '2024-10-10 12:00:00', 722821),
(5, '2020-07-25 12:00:00', 1509520),
(11, '2019-11-24 12:00:00', 1198157),
(20, '2022-08-23 12:00:00', 2267362),
(18, '2022-02-09 12:00:00', 1544124),
(12, '2023-07-22 12:00:00', 1844644),
(17, '2023-08-23 12:00:00', 2501135),
(15, '2022-04-16 12:00:00', 2213407),
(15, '2023-08-21 12:00:00', 555077),
(16, '2021-05-02 12:00:00', 738505),
(6, '2024-01-17 12:00:00', 2733401),
(13, '2023-04-18 12:00:00', 2230024),
(18, '2019-08-09 12:00:00', 2325430),
(14, '2023-08-23 12:00:00', 512370),
(20, '2024-12-10 12:00:00', 1294187),
(12, '2021-10-21 12:00:00', 762847),
(4, '2023-04-10 12:00:00', 1716516),
(12, '2024-04-29 12:00:00', 1873807),
(3, '2020-10-13 12:00:00', 629261),
(3, '2024-10-16 12:00:00', 2112439),
(16, '2020-05-07 12:00:00', 2637089),
(9, '2024-11-11 12:00:00', 2982581),
(14, '2022-01-28 12:00:00', 2606076),
(4, '2021-12-14 12:00:00', 629424),
(13, '2021-06-07 12:00:00', 572150),
(4, '2021-06-24 12:00:00', 671888),
(14, '2019-05-05 12:00:00', 2847633),
(14, '2021-10-01 12:00:00', 627731),
(9, '2019-02-21 12:00:00', 2929999),
(16, '2024-04-02 12:00:00', 1479170),
(14, '2020-02-08 12:00:00', 2873042),
(18, '2022-09-09 12:00:00', 1137434),
(1, '2019-04-12 12:00:00', 2840778),
(4, '2019-07-03 12:00:00', 1470274),
(3, '2022-11-16 12:00:00', 1618064),
(10, '2024-12-07 12:00:00', 2965033),
(10, '2023-09-27 12:00:00', 2433510),
(18, '2019-03-01 12:00:00', 2452371),
(4, '2019-02-27 12:00:00', 1195348),
(12, '2024-09-22 12:00:00', 1826066),
(2, '2019-04-17 12:00:00', 2038344),
(16, '2019-09-24 12:00:00', 2240386),
(15, '2019-11-05 12:00:00', 1881536),
(6, '2022-12-19 12:00:00', 1886185),
(2, '2019-11-01 12:00:00', 913105),
(20, '2021-03-01 12:00:00', 1713277),
(18, '2022-04-11 12:00:00', 1305534),
(9, '2019-09-05 12:00:00', 1656627),
(6, '2024-06-07 12:00:00', 1456796),
(4, '2023-12-17 12:00:00', 645240),
(16, '2021-07-26 12:00:00', 514317),
(1, '2020-07-20 12:00:00', 1028735),
(4, '2023-04-21 12:00:00', 2393694),
(6, '2023-12-24 12:00:00', 2010391),
(1, '2024-10-07 12:00:00', 2496508),
(19, '2023-08-23 12:00:00', 2848251),
(14, '2022-08-19 12:00:00', 2516579),
(17, '2023-02-27 12:00:00', 2870145),
(20, '2020-10-26 12:00:00', 1233291),
(11, '2023-11-16 12:00:00', 1784616),
(16, '2024-03-25 12:00:00', 2940403),
(7, '2020-08-10 12:00:00', 1195512),
(20, '2020-09-01 12:00:00', 2051660),
(10, '2022-07-18 12:00:00', 1309111),
(3, '2023-05-23 12:00:00', 967131),
(5, '2024-02-26 12:00:00', 1407572),
(2, '2019-11-27 12:00:00', 2226773),
(12, '2021-12-11 12:00:00', 1348753),
(20, '2020-10-18 12:00:00', 2823735),
(10, '2019-01-09 12:00:00', 533977),
(13, '2023-12-13 12:00:00', 2433260),
(7, '2023-06-10 12:00:00', 2241559),
(14, '2022-12-27 12:00:00', 864902),
(3, '2020-06-15 12:00:00', 2640513),
(14, '2022-09-11 12:00:00', 1533456),
(19, '2022-09-21 12:00:00', 2902051),
(15, '2020-05-04 12:00:00', 2198233),
(4, '2022-10-04 12:00:00', 1117244),
(7, '2024-07-07 12:00:00', 903621),
(7, '2024-10-17 12:00:00', 2334795),
(18, '2024-06-14 12:00:00', 2364473),
(4, '2019-10-18 12:00:00', 2174190),
(7, '2022-11-24 12:00:00', 2035562),
(3, '2023-09-25 12:00:00', 1283996),
(10, '2023-02-08 12:00:00', 2533229),
(14, '2022-04-05 12:00:00', 1082605),
(3, '2021-02-25 12:00:00', 1956047),
(14, '2024-01-25 12:00:00', 816467),
(18, '2024-12-21 12:00:00', 1040263),
(20, '2024-11-07 12:00:00', 2762722),
(14, '2021-03-04 12:00:00', 2025205),
(20, '2019-07-27 12:00:00', 1411952),
(12, '2024-11-18 12:00:00', 962349),
(20, '2022-04-15 12:00:00', 687731),
(8, '2023-01-08 12:00:00', 2122396),
(9, '2019-06-05 12:00:00', 2263521),
(18, '2021-11-20 12:00:00', 513719),
(1, '2022-04-09 12:00:00', 2533428),
(12, '2022-09-26 12:00:00', 2600787),
(3, '2023-02-06 12:00:00', 2860751),
(18, '2019-11-19 12:00:00', 2456136),
(15, '2023-10-28 12:00:00', 2162425),
(7, '2021-08-14 12:00:00', 2273922),
(15, '2022-04-25 12:00:00', 1353967),
(12, '2019-01-22 12:00:00', 2796380),
(1, '2023-06-07 12:00:00', 2507321),
(7, '2019-05-30 12:00:00', 2630718),
(12, '2022-07-12 12:00:00', 2588481),
(6, '2023-03-01 12:00:00', 2422792),
(18, '2022-12-28 12:00:00', 1566240),
(12, '2023-03-22 12:00:00', 2726250),
(6, '2021-01-20 12:00:00', 1111235),
(20, '2024-04-13 12:00:00', 2363481),
(5, '2019-10-18 12:00:00', 2941209),
(20, '2023-09-12 12:00:00', 1439501),
(10, '2021-10-22 12:00:00', 1996442),
(18, '2021-04-16 12:00:00', 2612952),
(15, '2020-08-25 12:00:00', 2972433),
(5, '2022-11-21 12:00:00', 2674922),
(15, '2022-11-19 12:00:00', 2050427),
(9, '2021-01-28 12:00:00', 2174739),
(14, '2022-06-18 12:00:00', 1081691),
(12, '2022-02-20 12:00:00', 2278318),
(18, '2023-09-17 12:00:00', 2648946),
(13, '2021-03-09 12:00:00', 1421084),
(8, '2024-01-20 12:00:00', 1646647),
(2, '2019-12-13 12:00:00', 1236093),
(15, '2021-12-19 12:00:00', 910290),
(1, '2019-04-10 12:00:00', 1051070),
(12, '2019-05-02 12:00:00', 522181),
(9, '2022-08-24 12:00:00', 2426617),
(10, '2024-12-01 12:00:00', 1795586),
(1, '2024-12-02 12:00:00', 1779662),
(10, '2023-02-07 12:00:00', 2770697),
(8, '2022-04-01 12:00:00', 777558),
(13, '2021-08-01 12:00:00', 901898),
(16, '2024-07-08 12:00:00', 1727288),
(9, '2019-12-05 12:00:00', 2402186),
(16, '2019-09-10 12:00:00', 2625791),
(5, '2024-07-27 12:00:00', 2962413),
(10, '2020-07-04 12:00:00', 996608),
(9, '2021-09-24 12:00:00', 2702464),
(20, '2023-05-27 12:00:00', 2547838),
(12, '2023-08-29 12:00:00', 2295728),
(5, '2019-10-26 12:00:00', 1638592),
(5, '2023-09-02 12:00:00', 1751037),
(17, '2022-04-10 12:00:00', 1882113),
(11, '2022-09-06 12:00:00', 1778030),
(10, '2022-04-01 12:00:00', 1711897),
(8, '2023-02-11 12:00:00', 2642628),
(17, '2024-07-03 12:00:00', 2724433),
(3, '2019-06-29 12:00:00', 764054),
(6, '2019-11-08 12:00:00', 941166),
(19, '2024-09-05 12:00:00', 2459278),
(20, '2020-04-06 12:00:00', 1232729),
(14, '2023-03-17 12:00:00', 781909),
(14, '2023-04-27 12:00:00', 2396464),
(7, '2023-11-27 12:00:00', 1775445),
(16, '2020-08-18 12:00:00', 616007),
(15, '2023-07-01 12:00:00', 2860949),
(20, '2020-06-08 12:00:00', 2692774),
(7, '2019-04-15 12:00:00', 1441259),
(3, '2020-11-19 12:00:00', 1342366),
(7, '2019-01-09 12:00:00', 525649),
(13, '2020-04-21 12:00:00', 1484471),
(20, '2022-12-27 12:00:00', 2811807),
(6, '2021-04-20 12:00:00', 2371625),
(14, '2024-04-03 12:00:00', 1633406),
(2, '2024-01-23 12:00:00', 2135524),
(2, '2024-09-05 12:00:00', 2919009),
(19, '2021-02-19 12:00:00', 2528365),
(12, '2021-03-29 12:00:00', 1972496),
(7, '2023-07-28 12:00:00', 1895266),
(4, '2024-09-11 12:00:00', 1589865),
(16, '2021-12-23 12:00:00', 1200496),
(11, '2022-11-19 12:00:00', 1998843),
(8, '2021-10-04 12:00:00', 1471597),
(4, '2021-09-14 12:00:00', 2579313),
(1, '2024-03-13 12:00:00', 1769051),
(8, '2024-07-05 12:00:00', 2595881),
(5, '2021-11-22 12:00:00', 1083735),
(18, '2024-01-20 12:00:00', 1309789),
(13, '2020-06-12 12:00:00', 1959900),
(1, '2020-10-10 12:00:00', 1481513),
(20, '2022-12-13 12:00:00', 1990019),
(5, '2019-12-14 12:00:00', 1938249),
(17, '2024-04-01 12:00:00', 2005925),
(15, '2019-02-01 12:00:00', 1072686),
(2, '2019-05-16 12:00:00', 1500853),
(20, '2023-10-18 12:00:00', 2520650),
(5, '2023-07-19 12:00:00', 1909872),
(14, '2019-11-03 12:00:00', 2304041),
(11, '2022-01-24 12:00:00', 2989314),
(1, '2021-07-19 12:00:00', 2438712),
(18, '2023-04-14 12:00:00', 1631716),
(8, '2022-07-22 12:00:00', 1176923),
(11, '2023-10-21 12:00:00', 678717),
(14, '2020-02-15 12:00:00', 1058104),
(1, '2021-10-24 12:00:00', 724034),
(6, '2021-04-17 12:00:00', 2371853),
(11, '2024-05-15 12:00:00', 549735),
(12, '2024-11-23 12:00:00', 2051695),
(2, '2023-09-09 12:00:00', 2255281),
(17, '2019-07-24 12:00:00', 1442993),
(16, '2019-04-10 12:00:00', 2946511),
(16, '2023-12-08 12:00:00', 2625440),
(10, '2020-02-10 12:00:00', 2153224),
(14, '2022-10-02 12:00:00', 1480345),
(14, '2021-09-05 12:00:00', 2068983),
(17, '2024-05-25 12:00:00', 1295407),
(4, '2020-05-23 12:00:00', 1453621),
(1, '2021-06-28 12:00:00', 1701536),
(16, '2020-12-21 12:00:00', 1942950),
(4, '2023-06-17 12:00:00', 939167),
(15, '2020-12-02 12:00:00', 1322124),
(11, '2023-09-28 12:00:00', 2680543),
(15, '2019-07-30 12:00:00', 1548576),
(10, '2023-10-03 12:00:00', 2430407),
(1, '2021-07-14 12:00:00', 1069530),
(13, '2021-06-13 12:00:00', 1141646),
(14, '2022-03-26 12:00:00', 1627061),
(11, '2023-04-17 12:00:00', 1086878),
(10, '2021-08-10 12:00:00', 1115928),
(7, '2024-03-02 12:00:00', 923810),
(16, '2022-01-02 12:00:00', 2813247),
(16, '2019-12-21 12:00:00', 1742924),
(2, '2021-03-06 12:00:00', 2464855),
(12, '2021-06-10 12:00:00', 880418),
(3, '2021-10-06 12:00:00', 1477609),
(4, '2021-08-01 12:00:00', 2088776),
(6, '2021-03-05 12:00:00', 856829),
(12, '2024-09-21 12:00:00', 980826),
(5, '2022-09-01 12:00:00', 2374253),
(20, '2021-12-11 12:00:00', 1754053),
(9, '2020-05-11 12:00:00', 2515153),
(2, '2019-08-03 12:00:00', 2019064),
(1, '2024-01-24 12:00:00', 2452069),
(18, '2020-12-09 12:00:00', 1049726),
(6, '2019-09-20 12:00:00', 1717147),
(15, '2024-03-03 12:00:00', 572129),
(20, '2019-04-15 12:00:00', 2652298),
(7, '2022-09-26 12:00:00', 1210541),
(12, '2024-03-25 12:00:00', 2357565),
(5, '2021-12-13 12:00:00', 2128535),
(11, '2023-07-06 12:00:00', 1842032),
(1, '2022-01-05 12:00:00', 2336268),
(1, '2021-03-11 12:00:00', 1788739),
(18, '2021-01-13 12:00:00', 1316230),
(3, '2022-08-11 12:00:00', 2828734),
(6, '2022-10-04 12:00:00', 2170042),
(19, '2021-06-24 12:00:00', 696872),
(5, '2019-08-13 12:00:00', 1420625),
(15, '2023-09-13 12:00:00', 1584556),
(2, '2022-03-10 12:00:00', 2782067),
(1, '2021-09-29 12:00:00', 2047309),
(6, '2024-09-07 12:00:00', 2305952),
(15, '2024-04-27 12:00:00', 697713),
(13, '2020-09-04 12:00:00', 704876),
(18, '2023-11-01 12:00:00', 662077),
(2, '2022-08-15 12:00:00', 1847848),
(16, '2023-08-29 12:00:00', 696148),
(15, '2021-08-08 12:00:00', 2386057),
(16, '2023-09-10 12:00:00', 1503010),
(19, '2024-09-15 12:00:00', 2485230),
(3, '2024-09-05 12:00:00', 2942420),
(16, '2019-06-01 12:00:00', 2254371),
(19, '2022-11-09 12:00:00', 2612685),
(19, '2019-05-26 12:00:00', 859231),
(17, '2023-02-08 12:00:00', 2304222),
(20, '2023-06-09 12:00:00', 2691225),
(13, '2022-06-18 12:00:00', 2809914),
(16, '2020-04-24 12:00:00', 1542210),
(5, '2021-11-12 12:00:00', 1740100),
(11, '2020-10-25 12:00:00', 936986),
(8, '2022-03-24 12:00:00', 1771194),
(4, '2023-12-26 12:00:00', 2274053),
(8, '2021-03-10 12:00:00', 1183121),
(5, '2022-06-20 12:00:00', 2655358),
(1, '2024-04-04 12:00:00', 2956433),
(17, '2023-08-02 12:00:00', 1242721),
(2, '2019-04-22 12:00:00', 1287153),
(6, '2023-10-09 12:00:00', 717389),
(13, '2023-12-08 12:00:00', 1279396),
(8, '2023-09-09 12:00:00', 2581766),
(18, '2023-08-20 12:00:00', 1873931),
(2, '2019-02-05 12:00:00', 1794950),
(14, '2019-06-17 12:00:00', 1200260),
(7, '2024-07-12 12:00:00', 1318254),
(13, '2023-04-27 12:00:00', 1252165),
(1, '2023-07-05 12:00:00', 796425),
(16, '2020-06-01 12:00:00', 1371564),
(9, '2020-03-29 12:00:00', 1662358),
(2, '2024-09-22 12:00:00', 1665608),
(10, '2020-09-03 12:00:00', 720291),
(1, '2020-06-11 12:00:00', 2454747),
(20, '2020-09-27 12:00:00', 2508423),
(3, '2023-05-27 12:00:00', 2933294),
(10, '2019-09-28 12:00:00', 1353371),
(6, '2019-02-27 12:00:00', 2720230),
(10, '2022-12-22 12:00:00', 880531),
(8, '2019-01-01 12:00:00', 2533605),
(1, '2024-10-20 12:00:00', 2536634),
(1, '2019-01-11 12:00:00', 2807600),
(13, '2021-02-03 12:00:00', 2352724),
(4, '2020-01-14 12:00:00', 1379929),
(13, '2019-08-21 12:00:00', 2255934),
(4, '2023-06-29 12:00:00', 2498716),
(9, '2021-09-14 12:00:00', 2750154),
(15, '2021-05-13 12:00:00', 2764367),
(11, '2020-04-10 12:00:00', 1859004),
(11, '2020-11-21 12:00:00', 2724798),
(13, '2021-03-16 12:00:00', 2491966),
(11, '2019-08-24 12:00:00', 643090),
(3, '2022-10-04 12:00:00', 2098562),
(15, '2022-02-12 12:00:00', 2061296),
(10, '2023-06-13 12:00:00', 949080),
(5, '2024-03-17 12:00:00', 2984031),
(2, '2019-03-16 12:00:00', 1697612),
(8, '2023-05-19 12:00:00', 1628574),
(12, '2019-05-04 12:00:00', 1548276),
(1, '2024-05-29 12:00:00', 1038849),
(20, '2020-10-04 12:00:00', 1916190),
(1, '2022-05-26 12:00:00', 894017),
(2, '2020-03-07 12:00:00', 1549663),
(5, '2023-01-28 12:00:00', 2804208),
(1, '2021-09-13 12:00:00', 1991078),
(10, '2021-01-14 12:00:00', 2392325),
(1, '2019-08-02 12:00:00', 2887301),
(16, '2019-09-13 12:00:00', 2315407),
(14, '2020-06-14 12:00:00', 1561973),
(2, '2019-06-25 12:00:00', 2225213),
(15, '2019-06-08 12:00:00', 2772224),
(1, '2021-08-24 12:00:00', 2226311),
(8, '2020-11-18 12:00:00', 2369384),
(12, '2019-12-12 12:00:00', 2133842),
(9, '2022-12-09 12:00:00', 2394273),
(9, '2024-12-04 12:00:00', 633589),
(8, '2019-04-18 12:00:00', 997789),
(7, '2022-02-09 12:00:00', 1595906),
(9, '2019-07-14 12:00:00', 2475177),
(6, '2019-02-24 12:00:00', 542820),
(20, '2019-04-07 12:00:00', 1871274),
(2, '2020-06-18 12:00:00', 2312251),
(4, '2020-09-04 12:00:00', 1976992),
(2, '2020-09-12 12:00:00', 1079719),
(3, '2022-12-08 12:00:00', 2243019),
(10, '2020-12-28 12:00:00', 906560),
(18, '2023-04-13 12:00:00', 2901637),
(16, '2019-07-09 12:00:00', 648888),
(7, '2022-01-03 12:00:00', 2711633),
(12, '2020-04-26 12:00:00', 2749746),
(1, '2022-09-06 12:00:00', 2302683),
(9, '2020-04-23 12:00:00', 2926356),
(11, '2022-03-01 12:00:00', 505766),
(18, '2020-06-14 12:00:00', 1698752),
(3, '2024-09-21 12:00:00', 963497),
(9, '2022-04-05 12:00:00', 2092090),
(20, '2022-09-26 12:00:00', 2094893),
(3, '2022-07-06 12:00:00', 1018021),
(12, '2022-05-14 12:00:00', 1291806),
(9, '2020-03-29 12:00:00', 1357947),
(17, '2022-06-12 12:00:00', 2843627),
(9, '2023-03-04 12:00:00', 2962099),
(5, '2020-10-26 12:00:00', 1661466),
(1, '2020-01-24 12:00:00', 813014),
(16, '2023-01-21 12:00:00', 2173305),
(6, '2019-08-06 12:00:00', 2581811),
(2, '2019-01-15 12:00:00', 1143994),
(12, '2020-02-23 12:00:00', 2127442),
(1, '2019-12-22 12:00:00', 1719289),
(9, '2019-06-06 12:00:00', 2256178),
(2, '2020-06-17 12:00:00', 558417),
(4, '2021-11-06 12:00:00', 1307707),
(10, '2023-07-04 12:00:00', 2648448),
(11, '2019-08-16 12:00:00', 1789725),
(1, '2021-10-27 12:00:00', 1426332),
(16, '2023-06-01 12:00:00', 988746),
(19, '2023-03-26 12:00:00', 2104266),
(2, '2021-08-02 12:00:00', 935780),
(18, '2024-06-20 12:00:00', 881555),
(15, '2019-06-25 12:00:00', 1564203),
(3, '2021-05-19 12:00:00', 746223),
(13, '2022-12-24 12:00:00', 1579204),
(2, '2021-02-08 12:00:00', 2249444),
(6, '2023-12-18 12:00:00', 872860),
(7, '2022-01-26 12:00:00', 1840511),
(12, '2021-01-13 12:00:00', 2845317),
(18, '2021-05-23 12:00:00', 1727080),
(3, '2023-02-24 12:00:00', 2564516),
(1, '2021-08-01 12:00:00', 2014739),
(13, '2022-10-18 12:00:00', 2501822),
(9, '2022-07-19 12:00:00', 1464747),
(19, '2019-09-19 12:00:00', 1140518),
(5, '2024-02-20 12:00:00', 799137),
(4, '2024-02-13 12:00:00', 2608748),
(20, '2021-05-27 12:00:00', 2894298),
(15, '2019-03-09 12:00:00', 2196818),
(18, '2019-09-10 12:00:00', 1734248),
(8, '2020-08-15 12:00:00', 2111745),
(6, '2021-12-18 12:00:00', 546648),
(17, '2023-09-14 12:00:00', 1140401),
(12, '2020-10-01 12:00:00', 1887557),
(3, '2023-09-06 12:00:00', 705718),
(3, '2021-05-13 12:00:00', 2330370),
(17, '2020-03-23 12:00:00', 2990000),
(12, '2020-01-26 12:00:00', 2322329),
(3, '2022-12-26 12:00:00', 665163),
(15, '2023-11-29 12:00:00', 2424591),
(1, '2020-11-06 12:00:00', 2795232),
(15, '2020-11-21 12:00:00', 2670843),
(8, '2019-03-21 12:00:00', 1517890),
(3, '2020-10-26 12:00:00', 2831045),
(2, '2020-01-07 12:00:00', 541172),
(13, '2023-06-14 12:00:00', 2611103),
(6, '2019-05-02 12:00:00', 526285),
(2, '2023-04-03 12:00:00', 536190),
(16, '2020-09-20 12:00:00', 2728650),
(4, '2021-08-18 12:00:00', 2792895),
(6, '2020-07-19 12:00:00', 2775438),
(5, '2023-08-03 12:00:00', 978382),
(10, '2024-11-28 12:00:00', 1833394),
(13, '2024-02-04 12:00:00', 950732),
(12, '2021-10-21 12:00:00', 553487),
(4, '2019-10-20 12:00:00', 1974080),
(4, '2024-04-01 12:00:00', 658171),
(12, '2020-04-08 12:00:00', 1693956),
(3, '2021-11-11 12:00:00', 1960673),
(20, '2019-06-07 12:00:00', 1797890),
(1, '2019-01-12 12:00:00', 2764713),
(9, '2022-10-22 12:00:00', 1462404),
(2, '2023-05-05 12:00:00', 535980),
(20, '2019-03-08 12:00:00', 1572715),
(5, '2023-12-13 12:00:00', 2366749),
(17, '2023-06-20 12:00:00', 2569025),
(20, '2022-09-13 12:00:00', 2606663),
(18, '2019-01-05 12:00:00', 535191),
(2, '2021-03-21 12:00:00', 1858306),
(17, '2022-04-08 12:00:00', 2212878),
(18, '2019-02-01 12:00:00', 2722771),
(12, '2021-09-22 12:00:00', 2175371),
(6, '2022-10-05 12:00:00', 1648238),
(7, '2022-11-09 12:00:00', 2333509),
(14, '2021-08-22 12:00:00', 1408648),
(3, '2022-06-20 12:00:00', 2536608),
(3, '2023-02-20 12:00:00', 2225869),
(4, '2022-01-06 12:00:00', 1882601),
(5, '2024-11-09 12:00:00', 2629676),
(7, '2022-01-18 12:00:00', 1657785),
(13, '2020-01-30 12:00:00', 2309672),
(15, '2020-02-01 12:00:00', 2030801),
(11, '2021-06-08 12:00:00', 529383),
(7, '2022-09-25 12:00:00', 758999),
(15, '2020-11-04 12:00:00', 2137363),
(3, '2022-10-08 12:00:00', 1867850),
(14, '2023-04-06 12:00:00', 2095917),
(1, '2020-07-30 12:00:00', 1028959),
(13, '2019-04-21 12:00:00', 1304164),
(15, '2021-02-27 12:00:00', 1808444),
(17, '2020-03-02 12:00:00', 817293),
(3, '2024-10-22 12:00:00', 999189),
(17, '2024-02-18 12:00:00', 2081365),
(15, '2024-02-25 12:00:00', 2068197),
(14, '2024-06-11 12:00:00', 2941342),
(11, '2022-07-24 12:00:00', 1985305),
(7, '2021-09-27 12:00:00', 2905155),
(16, '2023-04-21 12:00:00', 2589967),
(14, '2020-01-22 12:00:00', 1543405),
(9, '2024-11-12 12:00:00', 1917047),
(1, '2022-08-04 12:00:00', 2655290),
(8, '2024-10-23 12:00:00', 2923100),
(16, '2020-06-01 12:00:00', 1709030),
(3, '2019-08-14 12:00:00', 699037),
(19, '2024-12-21 12:00:00', 2476941),
(12, '2022-09-04 12:00:00', 2200860),
(18, '2024-10-19 12:00:00', 1055174),
(9, '2019-06-13 12:00:00', 1249650),
(1, '2019-08-25 12:00:00', 1060869),
(4, '2020-04-03 12:00:00', 833474),
(15, '2023-03-22 12:00:00', 1533232),
(7, '2021-10-28 12:00:00', 2694055),
(1, '2021-02-18 12:00:00', 1858266),
(14, '2022-06-02 12:00:00', 1908232),
(4, '2022-05-26 12:00:00', 1085090),
(18, '2019-09-29 12:00:00', 671706),
(1, '2023-05-20 12:00:00', 591924),
(10, '2023-07-28 12:00:00', 1006831),
(2, '2024-06-03 12:00:00', 2173022),
(20, '2024-09-14 12:00:00', 824921),
(14, '2020-06-21 12:00:00', 1978589),
(1, '2020-10-13 12:00:00', 2236847),
(12, '2023-04-09 12:00:00', 2476320),
(7, '2019-08-12 12:00:00', 1417368),
(14, '2021-11-15 12:00:00', 2891841),
(16, '2021-07-30 12:00:00', 2077981),
(19, '2020-05-13 12:00:00', 1298686),
(7, '2024-09-20 12:00:00', 1068774),
(13, '2020-11-12 12:00:00', 2583844),
(10, '2021-11-19 12:00:00', 1323275),
(20, '2020-06-29 12:00:00', 1689952),
(7, '2022-03-21 12:00:00', 1629799),
(19, '2024-07-22 12:00:00', 1417183),
(6, '2019-11-10 12:00:00', 501370),
(1, '2024-01-17 12:00:00', 500210),
(13, '2019-06-29 12:00:00', 1390524),
(8, '2024-02-05 12:00:00', 1074121),
(6, '2020-08-05 12:00:00', 2394603),
(14, '2024-07-20 12:00:00', 1219814),
(11, '2024-12-23 12:00:00', 2515940),
(12, '2022-03-05 12:00:00', 2618284),
(8, '2024-11-04 12:00:00', 2371821),
(20, '2023-05-10 12:00:00', 2598006),
(11, '2024-05-20 12:00:00', 1993260),
(9, '2020-07-17 12:00:00', 2217996),
(8, '2019-11-16 12:00:00', 2442571),
(14, '2019-02-19 12:00:00', 2822206),
(8, '2023-08-21 12:00:00', 1355572),
